"","Source","Target","Type","weight","book","source.family","target.family"
"1","Arya-Stark","Benjen-Stark","Undirected",3,1,"Stark","Stark"
"2","Arya-Stark","Bran-Stark","Undirected",14,1,"Stark","Stark"
"3","Arya-Stark","Catelyn-Stark","Undirected",5,1,"Stark","Stark"
"4","Arya-Stark","Cersei-Lannister","Undirected",12,1,"Stark","Lannister"
"5","Arya-Stark","Desmond","Undirected",3,1,"Stark",NA
"6","Arya-Stark","Eddard-Stark","Undirected",30,1,"Stark","Stark"
"7","Arya-Stark","Ilyn-Payne","Undirected",5,1,"Stark",NA
"8","Arya-Stark","Jeyne-Poole","Undirected",10,1,"Stark",NA
"9","Arya-Stark","Joffrey-Baratheon","Undirected",39,1,"Stark",NA
"10","Arya-Stark","Jon-Snow","Undirected",37,1,"Stark",NA
"11","Arya-Stark","Jory-Cassel","Undirected",12,1,"Stark",NA
"12","Arya-Stark","Meryn-Trant","Undirected",4,1,"Stark",NA
"13","Arya-Stark","Mordane","Undirected",39,1,"Stark",NA
"14","Arya-Stark","Mycah","Undirected",18,1,"Stark",NA
"15","Arya-Stark","Myrcella-Baratheon","Undirected",13,1,"Stark",NA
"16","Arya-Stark","Petyr-Baelish","Undirected",3,1,"Stark",NA
"17","Arya-Stark","Rickon-Stark","Undirected",7,1,"Stark","Stark"
"18","Arya-Stark","Robb-Stark","Undirected",15,1,"Stark","Stark"
"19","Arya-Stark","Robert-Baratheon","Undirected",8,1,"Stark",NA
"20","Arya-Stark","Rodrik-Cassel","Undirected",3,1,"Stark",NA
"21","Arya-Stark","Sandor-Clegane","Undirected",7,1,"Stark",NA
"22","Arya-Stark","Sansa-Stark","Undirected",104,1,"Stark","Stark"
"23","Arya-Stark","Syrio-Forel","Undirected",20,1,"Stark",NA
"24","Arya-Stark","Tomard","Undirected",6,1,"Stark",NA
"25","Arya-Stark","Tommen-Baratheon","Undirected",5,1,"Stark",NA
"26","Arya-Stark","Vayon-Poole","Undirected",4,1,"Stark",NA
"27","Arya-Stark","Yoren","Undirected",4,1,"Stark",NA
"28","Benjen-Stark","Bran-Stark","Undirected",6,1,"Stark","Stark"
"29","Benjen-Stark","Cersei-Lannister","Undirected",3,1,"Stark","Lannister"
"30","Benjen-Stark","Jaremy-Rykker","Undirected",3,1,"Stark",NA
"31","Benjen-Stark","Jeor-Mormont","Undirected",9,1,"Stark",NA
"32","Benjen-Stark","Jon-Snow","Undirected",41,1,"Stark",NA
"33","Benjen-Stark","Luwin","Undirected",7,1,"Stark",NA
"34","Benjen-Stark","Mance-Rayder","Undirected",3,1,"Stark",NA
"35","Benjen-Stark","Robb-Stark","Undirected",7,1,"Stark","Stark"
"36","Benjen-Stark","Robert-Baratheon","Undirected",3,1,"Stark",NA
"37","Benjen-Stark","Theon-Greyjoy","Undirected",4,1,"Stark",NA
"38","Benjen-Stark","Tyrion-Lannister","Undirected",8,1,"Stark","Lannister"
"39","Benjen-Stark","Waymar-Royce","Undirected",3,1,"Stark",NA
"40","Benjen-Stark","Yoren","Undirected",4,1,"Stark",NA
"41","Bran-Stark","Catelyn-Stark","Undirected",18,1,"Stark","Stark"
"42","Bran-Stark","Cersei-Lannister","Undirected",6,1,"Stark","Lannister"
"43","Bran-Stark","Eddard-Stark","Undirected",19,1,"Stark","Stark"
"44","Bran-Stark","Hali","Undirected",3,1,"Stark",NA
"45","Bran-Stark","Hallis-Mollen","Undirected",3,1,"Stark",NA
"46","Bran-Stark","Hodor","Undirected",29,1,"Stark",NA
"47","Bran-Stark","Hullen","Undirected",3,1,"Stark",NA
"48","Bran-Stark","Jeor-Mormont","Undirected",4,1,"Stark",NA
"49","Bran-Stark","Joffrey-Baratheon","Undirected",3,1,"Stark",NA
"50","Bran-Stark","Jon-Arryn","Undirected",7,1,"Stark",NA
"51","Bran-Stark","Jon-Snow","Undirected",56,1,"Stark",NA
"52","Bran-Stark","Jory-Cassel","Undirected",11,1,"Stark",NA
"53","Bran-Stark","Joseth","Undirected",4,1,"Stark",NA
"54","Bran-Stark","Luwin","Undirected",65,1,"Stark",NA
"55","Bran-Stark","Nan","Undirected",17,1,"Stark",NA
"56","Bran-Stark","Osha","Undirected",12,1,"Stark",NA
"57","Bran-Stark","Petyr-Baelish","Undirected",3,1,"Stark",NA
"58","Bran-Stark","Renly-Baratheon","Undirected",3,1,"Stark",NA
"59","Bran-Stark","Rickard-Karstark","Undirected",4,1,"Stark",NA
"60","Bran-Stark","Rickard-Stark","Undirected",4,1,"Stark","Stark"
"61","Bran-Stark","Rickon-Stark","Undirected",32,1,"Stark","Stark"
"62","Bran-Stark","Robb-Stark","Undirected",112,1,"Stark","Stark"
"63","Bran-Stark","Robert-Baratheon","Undirected",11,1,"Stark",NA
"64","Bran-Stark","Rodrik-Cassel","Undirected",6,1,"Stark",NA
"65","Bran-Stark","Sansa-Stark","Undirected",10,1,"Stark","Stark"
"66","Bran-Stark","Stiv","Undirected",4,1,"Stark",NA
"67","Bran-Stark","Theon-Greyjoy","Undirected",23,1,"Stark",NA
"68","Bran-Stark","Tommen-Baratheon","Undirected",5,1,"Stark",NA
"69","Bran-Stark","Tyrion-Lannister","Undirected",31,1,"Stark","Lannister"
"70","Bran-Stark","Yoren","Undirected",3,1,"Stark",NA
"71","Brandon-Stark","Eddard-Stark","Undirected",11,1,"Stark","Stark"
"72","Brandon-Stark","Lyanna-Stark","Undirected",4,1,"Stark","Stark"
"73","Brandon-Stark","Petyr-Baelish","Undirected",14,1,"Stark",NA
"74","Brandon-Stark","Rickard-Stark","Undirected",3,1,"Stark","Stark"
"75","Brandon-Stark","Robert-Baratheon","Undirected",5,1,"Stark",NA
"76","Catelyn-Stark","Cersei-Lannister","Undirected",12,1,"Stark","Lannister"
"77","Catelyn-Stark","Colemon","Undirected",3,1,"Stark",NA
"78","Catelyn-Stark","Donnel-Waynwood","Undirected",3,1,"Stark",NA
